aah	ɑ
aboard	ɐbɔd
abode	ɐbəʊd
abodes	ɐbəʊdz
abolish	ɐbɒlɪʃ
abolished	ɐbɒlɪʃt
abolishes	ɐbɒlɪʃɪz
abolishing	ɐbɒlɪʃɪŋ
abolishment	ɐbɒlɪʃmənt
abominable	ɐbɒmɪnəbəl
abominably	ɐbɒmɪnəbli
abominate	ɐbɒmɪneɪt
abominated	ɐbɒmɪneɪtɪd
abomination	ɐbɒmɪneɪʃən
abominations	ɐbɒmɪneɪʃənz
abominator	ɐbɒmɪneɪtɐ
aboriginal	æbəɹɪdʒɪnəl
aboriginals	æbəɹɪdʒɪnəlz
aborigine	æbəɹɪdʒəni
aborigines	æbəɹɪdʒəniz
abort	ɐbɔt
aborted	ɐbɔtɪd
aborting	ɐbɔtɪŋ
abortion	ɐbɔʃən
abortionist	ɐbɔʃənɪst
abortionists	ɐbɔʃənɪsts
abortions	ɐbɔʃənz
abortive	ɐbɔtɪv
aborts	ɐbɔts
abound	ɐbaʊnd
abounded	ɐbaʊndɪd
abounding	ɐbaʊndɪŋ
abounds	ɐbaʊndz
about	ɐbaʊt
above	əbʌv
abracadabra	æbɹəkədæbɹɐ
abrade	ɐbɹeɪd
abraded	ɐbɹeɪdɪd
abrades	ɐbɹeɪdz
abrading	ɐbɹeɪdɪŋ
abrasion	ɐbɹeɪʒən
abrasions	ɐbɹeɪʒənz
abrasive	ɐbɹeɪsɪv
abrasiveness	ɐbɹeɪsɪvnəs
abrasives	ɐbɹeɪsɪvz
abraxas	ɐbɹæksəs
abreast	ɐbɹɛst
abri	ɐbɹi
abridged	ɐbɹɪdʒd
abridgement	ɐbɹɪdʒmənt
abroad	ɐbɹɔd
abrupt	ɐbɹʌpt
abruption	ɐbɹʌpʃən
abruptly	ɐbɹʌptli
abruptness	ɐbɹʌptnəs
abscond	ɐbskɒnd
absconded	ɐbskɒndɪd
absconding	ɐbskɒndɪŋ
absconds	ɐbskɒndz
abseil	æbseɪl
abseiled	æbseɪld
abseiler	æbseɪlɐ
abseiling	æbseɪlɪŋ
abseils	æbseɪlz
absence	æbsəns
absences	æbsənsɪz
absentee	æbsənti
absenteeism	æbsəntiɪzəm
absentees	æbsəntiz
absentminded	æbsəntmaɪndɪd
absentmindedly	æbsəntmaɪndɪdli
absolutes	æbsəluts
absolutism	æbsəlutɪzəm
absolve	ɐbsɒlv
absolved	ɐbsɒlvd
absolves	ɐbsɒlvz
absolving	ɐbsɒlvɪŋ
absorbable	ɐbsɔbəbəl
absorb	ɐbsɔb
absorbed	ɐbsɔbd
absorbency	ɐbsɔbənsi
absorbent	ɐbsɔbənt
absorber	ɐbsɔbɐ
absorbers	ɐbsɔbəz
absorbing	ɐbsɔbɪŋ
absorbs	ɐbsɔbz
absorption	ɐbsɔpʃən
abstain	ɐbsteɪn
abstained	ɐbsteɪnd
abstainers	ɐbsteɪnəz
abstaining	ɐbsteɪnɪŋ
abstains	ɐbsteɪnz
abstemious	ɐbstimiəs
abstention	ɐbstɛnʃən
abstentions	ɐbstɛnʃənz
abstinence	æbstɪnəns
abstinent	æbstɪnənt
abstracted	ɐbstɹæktɪd
abstracting	ɐbstɹæktɪŋ
abstraction	ɐbstɹækʃən
abstractions	ɐbstɹækʃənz
abstractly	ɐbstɹæktli
abstruse	ɐbstɹus
absurd	ɐbsɜd
absurdist	ɐbsɜdɪst
absurdities	ɐbsɜdɪtiz
absurdity	ɐbsɜdɪti
absurdly	ɐbsɜdli
abundance	ɐbʌndəns
abundances	ɐbʌndənsɪz
abundant	ɐbʌndənt
abundantly	ɐbʌndəntli
abused	ɐbjusd
abuser	ɐbjusɐ
abusers	ɐbjusəz
abusing	ɐbjusɪŋ
abusive	ɐbjusɪv
abusively	ɐbjusɪvli
abut	ɐbʌt
abutment	ɐbʌtmənt
abutments	ɐbʌtmənts
abuts	ɐbʌts
abutting	ɐbʌtɪŋ
abuzz	ɐbʌz
aby	ɐbaɪ
abysmal	ɐbɪsməl
abysmally	ɐbɪsməli
abyssal	ɐbɪsəl
abyss	ɐbɪs
abysses	ɐbɪsɪz
acacia	ɐkeɪʃɐ
acacias	ɐkeɪʃəz
academe	ɐkædəmi
academia	ækədimiə
academic	ækədɛmɪk
academical	ækədɛmɪkəl
academically	ækədɛmɪkli
academician	ækədɪmɪʃən
academicians	ækədɪmɪʃənz
academics	ækədɛmɪks
academies	ɐkædəmɪz
academy	ɐkædəmi
acanthus	ɐkɑnθəs
acceded	ɐksidɪd
accede	ɐksid
acceding	ɐksidɪŋ
accelerando	ɐksɛləɹændəʊ
accelerant	ɐksɛləɹənt
accelerated	ɐksɛləɹeɪtɪd
accelerate	ɐksɛləɹeɪt
accelerates	ɐksɛləɹeɪts
accelerating	ɐksɛləɹeɪtɪŋ
acceleration	ɐksɛləɹeɪʃən
accelerations	ɐksɛləɹeɪʃənz
accelerator	ɐksɛləɹeɪtɐ
accelerators	ɐksɛləɹeɪtəz
accelerometer	ɐksɛləɹɒmɪtɐ
accelerometers	ɐksɛləɹɒmɪtəz
accented	æksəntɪd
accentuates	æksɛntʃueɪts
acceptability	ɐksɛptəbɪlɪti
acceptable	ɐksɛptəbəl
acceptably	ɐksɛptəbli
acceptance	ɐksɛptəns
acceptances	ɐksɛptənsɪz
acceptation	ɐksɪpteɪʃən
accepted	ɐksɛptɪd
accepting	ɐksɛptɪŋ
accept	ɐksɛpt
accepts	ɐksɛpts
accessed	æksɛst
accessibility	ɐksɛsəbɪlɪti
accessible	ɐksɛsəbəl
accessibly	ɐksɛsəbli
accession	ɐksɛʃən
accessories	ɐksɛsəɹiz
accessorised	ɐksɛsɔɹaɪzd
accessorise	ɐksɛsɔɹaɪz
accessorising	ɐksɛsɔɹaɪzɪŋ
accessory	ɐksɛsəɹi
accident	æksɪdənt
accidently	æksɪdəntli
accidents	æksɪdənts
acclaimed	ɐkleɪmd
acclaiming	ɐkleɪmɪŋ
acclaim	ɐkleɪm
acclaims	ɐkleɪmz
acclamation	ɐklɐmeɪʃən
acclimated	ɐklaɪmətɪd
acclimate	ɐklaɪmət
acclimatisation	ɐklaɪmɐtaɪzeɪʃən
acclimatised	ɐklaɪmɐtaɪzd
acclimatise	ɐklaɪmɐtaɪz
acclimatising	ɐklaɪmɐtaɪzɪŋ
accolade	ækəleɪd
accolades	ækəleɪdz
accommodated	ɐkɒmədeɪtɪd
accommodate	ɐkɒmədeɪt
accommodates	ɐkɒmədeɪts
accommodating	ɐkɒmədeɪtɪŋ
accommodation	ɐkɒmədeɪʃən
accommodations	ɐkɒmədeɪʃənz
accompanied	ɐkʌmpənɪd
accompanies	ɐkʌmpənɪz
accompaniment	ɐkʌmpɐnɪmənt
accompaniments	ɐkʌmpɐnɪmənts
accompanist	ɐkʌmpɐnɪst
accompanists	ɐkʌmpɐnɪsts
accompanying	ɐkʌmpənɪɪŋ
accompany	ɐkʌmpəni
accomplice	ɐkɒmplɪs
accomplices	ɐkɒmplɪsɪz
accomplished	ɐkɒmplɪʃt
accomplishes	ɐkɒmplɪʃɪz
accomplishing	ɐkɒmplɪʃɪŋ
accomplish	ɐkɒmplɪʃ
accomplishment	ɐkɒmplɪʃmənt
accomplishments	ɐkɒmplɪʃmənts
accordance	ɐkɔdəns
accordant	ɐkɔdənt
accorded	ɐkɔdɪd
according	ɐkɔdɪŋ
accordingly	ɐkɔdɪŋli
accordionist	ɐkɔdɪənɪst
accordionists	ɐkɔdɪənɪsts
accordion	ɐkɔdiən
accordions	ɐkɔdiənz
accord	ɐkɔd
accords	ɐkɔdz
accosted	ɐkɒstɪd
accosting	ɐkɒstɪŋ
accost	ɐkɒst
accosts	ɐkɒsts
accountability	ɐkaʊntəbɪlɪti
accountable	ɐkaʊntəbəl
accountancy	ɐkaʊntənsi
accountant	ɐkaʊntənt
accountants	ɐkaʊntənts
accounted	ɐkaʊntɪd
accounting	ɐkaʊntɪŋ
account	ɐkaʊnt
accounts	ɐkaʊnts
accoutred	ɐkutɹəd
accoutrement	ɐkutɹɪmənt
accoutrements	ɐkutɹɪmənts
accreditation	ɐkɹɛdɪteɪʃən
accredited	ɐkɹɛdɪtɪd
accredits	ɐkɹɛdɪts
accreted	ɐkɹitɪd
accrete	ɐkɹit
accretion	ɐkɹɛʃən
accretions	ɐkɹɛʃənz
accrual	ɐkɹuəl
accrued	ɐkɹud
accrue	ɐkɹu
accrues	ɐkɹuz
accruing	ɐkɹuɪŋ
acculturated	ɐkʌltʃəɹeɪtɪd
accumulated	ɐkjumjʊleɪtɪd
accumulate	ɐkjumjʊleɪt
accumulates	ɐkjumjʊleɪts
accumulating	ɐkjumjʊleɪtɪŋ
accumulation	ɐkjumjʊleɪʃən
accumulations	ɐkjumjʊleɪʃənz
accumulative	ɐkjumjʊlətɪv
accumulator	ɐkjumjʊleɪtɐ
accumulators	ɐkjumjʊleɪtəz
accuracy	ækjʊɹəsi
accurate	ækjʊɹət
accurately	ækjʊɹətli
accursed	ɐkɜsɪd
accusation	ækjuzeɪʃən
accusations	ækjuzeɪʃənz
accusative	ɐkjuzətɪv
accusatory	ɐkjuzətəɹi
accused	ɐkjuzd
accuse	ɐkjuz
accuser	ɐkjuzɐ
accusers	ɐkjuzəz
accuses	ɐkjuzɪz
accusing	ɐkjuzɪŋ
accusingly	ɐkjuzɪŋli
accustomed	ɐkʌstəmd
accustom	ɐkʌstəm
aced	eɪst
acerbic	ɐsɜbɪk
acetate	æsɪteɪt
acetates	æsɪteɪts
acetic	ɐsitɪk
acetone	æsɪtəʊn
acetyl	æsɪtaɪl
acetylene	ɐsɛtəlin
ached	eɪkt
aches	eɪkz
achievable	ɐtʃivəbəl
achieved	ɐtʃivd
achievements	ɐtʃivmənts
achievement	ɐtʃivmənt
achievers	ɐtʃivəz
achiever	ɐtʃivɐ
achieves	ɐtʃivz
achieve	ɐtʃiv
achieving	ɐtʃivɪŋ
aching	eɪkɪŋ
achingly	ɐtʃɪŋli
achoo	ɐtʃu
achy	eɪki
acidic	ɐsɪdɪk
acidification	ɐsɪdɪfɪkeɪʃən
acidified	ɐsɪdɪfaɪd
acidifying	ɐsɪdɪfaɪɪŋ
acidify	ɐsɪdɪfaɪ
acidity	æsɪdɪti
acidosis	ɐsɪdəʊsɪs
acidotic	ɐsɪdɒtɪk
acidulated	ɐsɪdjʊleɪtɪd
acknowledged	ɐknɒlɪdʒd
acknowledge	ɐknɒlɪdʒ
acknowledgement	ɐknɒlɪdʒmənt
acknowledgements	ɐknɒlɪdʒmənts
acknowledges	ɐknɒlɪdʒɪz
acknowledging	ɐknɒlɪdʒɪŋ
acknowledgment	ɐknɒlɪdʒmənt
acknowledgments	ɐknɒlɪdʒmənts
acme	ækmi
acne	ækni
acolyte	ækəlaɪt
acolytes	ækəlaɪts
aconite	ækənaɪt
aconites	ækənaɪts
acorn	eɪkɔn
acorns	eɪkɔnz
acoustical	ɐkustɪkəl
acoustically	ɐkustɪkli
acoustician	ɐkustɪʃən
acousticians	ɐkustɪʃənz
acoustic	ɐkustɪk
acoustics	ɐkustɪks
acquaintance	ɐkweɪntəns
acquaintanceship	ɐkweɪntənsʃɪp
acquaintances	ɐkweɪntənsɪz
acquainted	ɐkweɪntɪd
acquainting	ɐkweɪntɪŋ
acquaint	ɐkweɪnt
acquiesce	ækwɪɛs
acquiesced	ækwɪɛst
acquiescence	ækwɪɛsəns
acquiescent	ækwɪɛsənt
acquiesces	ækwɪɛsɪz
acquiescing	ækwɪɛsɪŋ
acquired	ɐkwaɪəd
acquire	ɐkwaɪə
acquirer	ɐkwaɪəɹɐ
acquires	ɐkwaɪəz
acquiring	ɐkwaɪəɹɪŋ
acquisition	ɐkwɪsɪʃən
acquisitions	ɐkwɪsɪʃənz
acquisitive	ɐkwɪzɪtɪv
acquit	ɐkwɪt
acquits	ɐkwɪts
acquittal	ɐkwɪtəl
acquittals	ɐkwɪtəlz
acquitted	ɐkwɪtɪd
acquitting	ɐkwɪtɪŋ
acreage	eɪkəɹɪdʒ
acreages	eɪkəɹɪdʒɪz
acred	eɪkəd
acres	eɪkəz
acrimonious	ækɹɪməʊnɪəs
acrimoniously	ækɹɪməʊnɪəsli
acrimony	ækɹɪməni
acrobatically	ækɹəbætɪkli
acromegaly	ækɹəʊmɡəli
acromion	ækɹəʊmiən
acronym	ækɹənɪm
acronyms	ækɹənɪmz
acrophobia	ækɹəfəʊbiə
acropolis	ækɹɒpəliz
across	əkɹɒs
acrylic	ɐkɹɪlɪk
acrylics	ɐkɹɪlɪks
actinide	æktɪnaɪd
actinium	æktɪniəm
actions	ækʃənz
activate	æktɪveɪt
activated	æktɪveɪtɪd
activates	æktɪveɪts
activating	æktɪveɪtɪŋ
activation	æktɪveɪʃən
activations	æktɪveɪʃənz
activator	æktɪveɪtɐ
activism	æktɪvɪzəm
actress	æktɹəs
actresses	æktɹəsɪz
actualisation	æktʃuəlaɪzeɪʃən
actualise	æktʃuəlaɪz
actualised	æktʃuəlaɪzd
actualities	æktʃuælɪtiz
actuarial	æktʃueəɹɪəl
actuarially	æktʃueəɹɪəli
actuaries	æktʃuəɹiz
actuary	æktʃuəɹi
actuator	æktʃueɪtɐ
actuators	æktʃueɪtəz
acuity	ɐkjuɪti
acumen	ækjumɛn
acupressure	ækəpɹɛʃɐ
acupuncture	ækjupʌŋktʃɐ
acupuncturist	ækjupʌŋktʃəɹɪst
acute	ɐkjut
acutely	ɐkjutli
acuteness	ɐkjutnəs
acuter	ɐkjutɐ
acyclovir	ɐkaɪkləviə
adagio	ædɑdʒɪəʊ
adamant	ædəmənt
adamantine	ædɐmɑntin
adamantly	ædəməntli
adaptability	ɐdæptəbɪlɪti
adaptable	ɐdæptəbəl
adaptation	ɐdɐpteɪʃən
adaptations	ɐdɐpteɪʃənz
adapt	ɐdæpt
adapted	ɐdæptɪd
adapter	ɐdæptɐ
adapters	ɐdæptəz
adapting	ɐdæptɪŋ
adaption	ɐdæpʃən
adaptions	ɐdæpʃənz
adaptive	ɐdæptɪv
adaptively	ɐdæptɪvli
adaptor	ɐdæptɐ
adaptors	ɐdæptəz
adapts	ɐdæpts
add	æd
added	ædɪd
addendum	ɐdɛndəm
adder	ædɐ
adders	ædəz
addicted	ɐdɪktɪd
addicting	ɐdɪktɪŋ
addiction	ɐdɪkʃən
addictions	ɐdɪkʃənz
addictive	ɐdɪktɪv
adding	ædɪŋ
additional	ɐdɪʃənəl
additionally	ɐdɪʃənəli
addition	ɐdɪʃən
additions	ɐdɪʃənz
additive	ædɪtɪv
additives	ædɪtɪvz
addle	ædəl
addled	ædəld
addles	ædəlz
addling	ædlɪŋ
addressable	ɐdɹɛsəbəl
addressed	ɐdɹɛst
addressee	ɐdɹɛsi
addresses	ɐdɹɛsɪz
addressing	ɐdɹɛsɪŋ
adds	ædz
adduced	ɐdjust
adduce	ɐdjus
adductor	ɐdʌktɐ
adenine	ædənin
adenocarcinoma	ædənɒkɑsɪnəʊmɐ
adenoidal	ædənɔɪdəl
adenoids	ædənɔɪdz
adenosine	ædənɒsaɪn
adeptly	ɐdɛptli
adeptness	ɐdɛptnəs
adequacy	ædɪkwəsi
adequate	ædɪkwət
adequately	ædɪkwətli
adhered	ædhiəd
adhere	ɐdhiə
adherence	ɐdhiəɹəns
adherent	ɐdhiəɹənt
adherents	ɐdhiəɹənts
adheres	ɐdhiəz
adhering	ædhiəɹɪŋ
adhesion	ɐdhiʒən
adhesive	ɐdhisɪv
adhesives	ɐdhisɪvz
adiabatic	eɪdɪɐbætɪk
adieu	ɐdju
adieux	ɐdjuz
adipose	ædɪpəʊz
adjacent	ɐdʒeɪsənt
adjectival	ædʒɪktaɪvəl
adjective	ædʒɪktɪv
adjectives	ædʒɪktɪvz
adjoin	ɐdʒɔɪn
adjoined	ɐdʒɔɪnd
adjoining	ɐdʒɔɪnɪŋ
adjoins	ɐdʒɔɪnz
adjourn	ɐdʒɜn
adjourned	ɐdʒɜnd
adjourning	ɐdʒɜnɪŋ
adjournment	ɐdʒɜnmənt
adjourns	ɐdʒɜnz
adjudged	ɐdʒʌdʒd
adjudicated	ɐdʒudɪkeɪtɪd
adjudicate	ɐdʒudɪkeɪt
adjudicates	ɐdʒudɪkeɪts
adjudicating	ɐdʒudɪkeɪtɪŋ
adjudication	ɐdʒudɪkeɪʃən
adjudications	ɐdʒudɪkeɪʃənz
adjudicator	ɐdʒudɪkeɪtɐ
adjudicators	ɐdʒudɪkeɪtəz
adjunct	æddʒʌŋkt
adjustable	ɐdʒʌstəbəl
adjust	ɐdʒʌst
adjusted	ɐdʒʌstɪd
adjuster	ɐdʒʌstɐ
adjusters	ɐdʒʌstəz
adjusting	ɐdʒʌstɪŋ
adjustment	ɐdʒʌstmənt
adjustments	ɐdʒʌstmənts
adjustor	ɐdʒʌstɐ
adjustors	ɐdʒʌstəz
adjusts	ɐdʒʌsts
adjutant	ædʒutənt
adjuvant	ɐdʒuvənt
admen	ɐdmɛn
administer	ɐdmɪnɪstɐ
administered	ɐdmɪnɪstəd
administering	ɐdmɪnɪstəɹɪŋ
administers	ɐdmɪnɪstəz
administrate	ɐdmɪnɪstɹeɪt
administrating	ɐdmɪnɪstɹeɪtɪŋ
administration	ɐdmɪnɪstɹeɪʃən
administrations	ɐdmɪnɪstɹeɪʃənz
administrative	ɐdmɪnɪstɹətɪv
administratively	ɐdmɪnɪstɹətɪvli
administrator	ɐdmɪnɪstɹeɪtɐ
administrators	ɐdmɪnɪstɹeɪtəz
admirable	ædməɹəbəl
admirably	ædməɹəbli
admiral	ædmɜɹəl
admirals	ædmɜɹəlz
admiralty	ædməɹəlti
admiration	ædməɹeɪʃən
admired	ɐdmaɪəd
admire	ɐdmaɪə
admirer	ɐdmaɪəɹɐ
admirers	ɐdmaɪəɹəz
admires	ɐdmaɪəz
admiring	ɐdmaɪəɹɪŋ
admiringly	ɐdmaɪəɹɪŋli
admissibility	ɐdmɪsəbɪlɪti
admissible	ɐdmɪsəbəl
admission	ɐdmɪʃən
admissions	ɐdmɪʃənz
admit	ɐdmɪt
admits	ɐdmɪts
admittance	ɐdmɪtəns
admitted	ɐdmɪtɪd
admittedly	ɐdmɪtɪdli
admitting	ɐdmɪtɪŋ
admixture	ɐdmɪkstʃɐ
admonish	ɐdmɒnɪʃ
admonished	ɐdmɒnɪʃt
admonishes	ɐdmɒnɪʃɪz
admonishing	ɐdmɒnɪʃɪŋ
admonishment	ɐdmɒnɪʃmənt
admonition	ædmənɪʃən
admonitions	ædmənɪʃənz
adobe	ɐdəʊbi
ado	ɐdu
adolescence	ædəlɛsəns
adolescent	ædəlɛsənt
adolescents	ædəlɛsənts
adonis	ædəʊniz
adonises	ædənaɪzɪz
adoptable	ɐdɒptəbəl
adopt	ɐdɒpt
adopted	ɐdɒptɪd
adoptee	ɐdɒpti
adopter	ɐdɒptɐ
adopters	ɐdɒptəz
adopting	ɐdɒptɪŋ
adoption	ɐdɒpʃən
adoptions	ɐdɒpʃənz
adoptive	ɐdɒptɪv
adopts	ɐdɒpts
adorable	ɐdɔɹəbəl
adorableness	ɐdɔɹəbəlnəs
adorably	ɐdɔɹəbli
adoration	ædəɹeɪʃən
adored	ɐdɔd
adore	ɐdɔ
adorers	ɐdɔɹəz
adores	ɐdɔz
adoring	ɐdɔɹɪŋ
adoringly	ɐdɔɹɪŋli
adorn	ɐdɔn
adorned	ɐdɔnd
adorning	ɐdɔnɪŋ
adornment	ɐdɔnmənt
adornments	ɐdɔnmənts
adorns	ɐdɔnz
adown	ɐdaʊn
adrenal	ɐdɹinəl
adrenalin	ɐdɹɛnɐlɪn
adrenaline	ɐdɹɛnəlɪn
adrift	ɐdɹɪft
adroit	ɐdɹɔɪt
adroitly	ɐdɹɔɪtli
adsorption	ɐdsɔpʃən
adulate	ædjʊleɪt
adulated	ædjʊleɪtɪd
adulation	ædjʊleɪʃən
adulterated	ɐdʌltəɹeɪtɪd
adulterating	ɐdʌltəɹeɪtɪŋ
adulteration	ɐdʌltəɹeɪʃən
adulterer	ɐdʌltəɹɐ
adulterers	ɐdʌltəɹəz
adulteress	ɐdʌltəɹəs
adulteresses	ɐdʌltəɹəsɪz
adulteries	ɐdʌltəɹiz
adulterous	ɐdʌltəɹəs
adultery	ɐdʌltəɹi
adulthood	ɐdʌlthʊd
advanced	ɐdvænst
advance	ɐdvæns
advancement	ɐdvænsmənt
advancements	ɐdvænsmənts
advances	ɐdvænsɪz
advancing	ɐdvænsɪŋ
advantaged	ɐdvɑntɪdʒd
advantage	ɐdvɑntɪdʒ
advantageous	ɐdvɑnteɪdʒəs
advantageously	ɐdvɑnteɪdʒəsli
advantages	ɐdvɑntɪdʒɪz
adventitious	ædvɪntɪʃəs
adventured	ɐdvɛntʃəd
adventure	ɐdvɛntʃɐ
adventurer	ɐdvɛntʃəɹɐ
adventurers	ɐdvɛntʃəɹəz
adventures	ɐdvɛntʃəz
adventuresome	ɐdvɛntʃəsʌm
adventuress	ɐdvɛntʃəɹɛs
adventuring	ɐdvɛntʃəɹɪŋ
adventurism	ɐdvɛntʃəɹɪzəm
adventurist	ɐdvɛntʃəɹɪst
adventurists	ɐdvɛntʃəɹɪsts
adventurous	ɐdvɛntʃəɹəs
adventurously	ɐdvɛntʃəɹəsli
adventurousness	ɐdvɛntʃəɹəsnəs
adverb	ædvɜb
adverbs	ædvɜbz
adversarial	ædvəseəɹɪəl
adversaries	ædvəsəɹiz
adversary	ædvəsəɹi
adverse	ædvɜs
adversely	ædvɜsli
adverted	ɐdvɜtɪd
advertise	ædvətaɪz
advertised	ædvətaɪzd
advertisement	ɐdvɜtɪsmənt
advertisements	ædvətaɪzmənts
advertiser	ædvətaɪzɐ
advertisers	ædvətaɪzəz
advertises	ædvətaɪzɪz
advertising	ædvətaɪzɪŋ
advice	ɐdvaɪs
advices	ɐdvaɪsɪz
advisability	ɐdvaɪzəbɪlɪti
advisable	ɐdvaɪzəbəl
advised	ɐdvaɪzd
advisedly	ɐdvaɪzɪdli
advise	ɐdvaɪz
adviser	ɐdvaɪzɐ
advisers	ɐdvaɪzəz
advises	ɐdvaɪzɪz
advising	ɐdvaɪzɪŋ
advisor	ɐdvaɪzɐ
advisories	ɐdvaɪzəɹiz
advisors	ɐdvaɪzəz
advisory	ɐdvaɪzəɹi
advocaat	ædvəkɑt
advocacy	ædvəkəsi
advocator	ædvəkeɪtɐ
aedes	idz
aegis	idʒɪs
aeolian	iəʊliən
aeolipile	iəlɪpaɪl
aeon	iɒn
aeons	iɒnz
aerated	eəɹeɪtɪd
aerate	eəɹeɪt
aerates	eəɹeɪts
aerating	eəɹeɪtɪŋ
aeration	eəɹeɪʃən
aerialist	eəɹɪəlɪst
aerials	eəɹɪəlz
aerobatic	eəɹəʊbætɪk
aerobatics	eəɹəʊbætɪks
aerobically	eəɹəʊbɪkli
aerobic	eəɹəʊbɪk
aerobics	eəɹəʊbɪks
aerodrome	eəɹəʊdɹəʊm
aerodromes	eəɹəʊdɹəʊmz
aerodynamically	eəɹəʊdaɪnæmɪkli
aerodynamic	eəɹəʊdaɪnæmɪk
aerodynamicist	eəɹəʊdaɪnæmɪsɪst
aerodynamics	eəɹəʊdaɪnæmɪks
aero	eəɹəʊ
aerofoil	eəɹəʊfɔɪl
aerofoils	eəɹəʊfɔɪlz
aeronaut	eəɹəʊnɔt
aeronautical	eəɹəʊnɔtɪkəl
aeronautic	eəɹəʊnɔtɪk
aeronautics	eəɹəʊnɔtɪks
aeronauts	eəɹəʊnɔts
aeroplane	eəɹəpleɪn
aeroplanes	eəɹəpleɪnz
aerosol	eəɹəsɒl
aerosols	eəɹəsɒlz
aerospace	eəɹəʊspeɪs
aesthete	isθit
aesthetes	isθits
aesthetically	isθɛtɪkli
aesthetic	isθɛtɪk
aesthetics	isθɛtɪks
aestival	istɪvəl
aetiology	itɪɒlədʒi
afar	ɐfɑ
afeard	ɐfiəd
affability	æfəbɪlɪti
affable	æfəbəl
affaire	ɐfeə
affaires	ɐfeəz
affair	ɐfeə
affairs	ɐfeəz
affectation	ɐfɪkteɪʃən
affectations	ɐfɪkteɪʃənz
affected	ɐfɛktɪd
affecting	ɐfɛktɪŋ
affectionate	ɐfɛkʃənət
affectionately	ɐfɛkʃənətli
affection	ɐfɛkʃən
affections	ɐfɛkʃənz
affective	ɐfɛktɪv
affectively	ɐfɛktɪvli
afferent	æfɹənt
affianced	ɐfaɪənst
affidavit	æfɪdeɪvɪt
affidavits	æfɪdeɪvɪts
affiliated	ɐfɪlɪeɪtɪd
affiliates	ɐfɪlɪeɪts
affiliation	ɐfɪlɪeɪʃən
affiliations	ɐfɪlɪeɪʃənz
affinities	ɐfɪnɪtiz
affinity	ɐfɪnɪti
affirmation	æfəmeɪʃən
affirmations	æfəmeɪʃənz
affirmative	ɐfɜmətɪv
affirmatively	ɐfɜmətɪvli
affirmed	ɐfɜmd
affirm	ɐfɜm
affirming	ɐfɜmɪŋ
affirms	ɐfɜmz
affixed	ɐfɪkst
afflatus	ɐflætəs
afflicted	ɐflɪktɪd
afflict	ɐflɪkt
afflicting	ɐflɪktɪŋ
affliction	ɐflɪkʃən
